file,component,category,pattern,line,evidence
AdornedRulerPanel.cpp,Other,audio_stream_control,\bAudioIO\b,1352,mAudioIOSubscription = AudioIO::Get()
AdornedRulerPanel.cpp,Other,state_transitions,\bStart\b,2100,// Start / Restart playback on left click.
AdornedRulerPanel.cpp,Other,state_transitions,\bStop\b,1212,ProjectAudioManager::Get(*pProject).Stop();
AdornedRulerPanel.cpp,Other,state_transitions,\bStop\b,2145,"// Stop only after deciding where to start again, because an event"
AdornedRulerPanel.cpp,Other,state_transitions,\bStop\b,2148,projectAudioManager.Stop();
AdornedRulerPanel.cpp,Other,state_transitions,\bStop\b,2716,ProjectAudioManager::Get(*mProject).Stop();
AdornedRulerPanel.cpp,Other,state_transitions,\bFlush\b,2366,gPrefs->Flush();
AdornedRulerPanel.cpp,Other,state_transitions,\bFlush\b,2377,gPrefs->Flush();
AudacityApp.cpp,Other,blocking_or_waiting,\bsleep_for\b,1490,std::this_thread::sleep_for(100ms);
AudacityApp.cpp,Other,blocking_or_waiting,\bsleep_for\b,2023,std::this_thread::sleep_for(10ms);
AudacityApp.cpp,Other,callbacks_events,\bCallAfter\b,1176,"// Use CallAfter to delay this to the next pass of the event loop,"
AudacityApp.cpp,Other,callbacks_events,\bCallAfter\b,1180,"CallAfter([pException, pProject] {"
AudacityApp.cpp,Other,callbacks_events,\bCallAfter\b,1356,this->CallAfter([]{
AudacityApp.cpp,Other,callbacks_events,\bCallAfter\b,1480,// opened.  So use CallAfter() to delay the rest of initialization.
AudacityApp.cpp,Other,callbacks_events,\bCallAfter\b,1491,CallAfter([this]{
AudacityApp.cpp,Other,callbacks_events,\bCallAfter\b,1672,CallAfter([=] () mutable {
AudacityApp.cpp,Other,callbacks_events,\bBind\(,1278,"mSplashScreen->Bind(wxEVT_DESTROY, [this](wxWindowDestroyEvent& event) {"
AudacityApp.cpp,Other,callbacks_events,\bBind\(,1324,"mSplashTimer.Bind(wxEVT_TIMER, [this, currentAlpha, transparencyDecrement](wxTimerEvent& evt) mutable {"
AudacityApp.cpp,Other,callbacks_events,\bBind\(,1708,"dialog->Bind(wxEVT_CLOSE_WINDOW, [dialog](wxCloseEvent&) { dialog->Destroy(); });"
AudacityApp.cpp,Other,callbacks_events,\bBind\(,1739,"Bind(wxEVT_MENU_OPEN, [=](wxMenuEvent& event)"
AudacityApp.cpp,Other,callbacks_events,\bBind\(,1745,"Bind(wxEVT_MENU_CLOSE, [=](wxMenuEvent& event)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,969,EVT_IDLE(AudacityApp::OnIdle)
AudacityApp.cpp,Other,callbacks_events,\bEVT_,971,EVT_QUERY_END_SESSION(AudacityApp::OnQueryEndSession)
AudacityApp.cpp,Other,callbacks_events,\bEVT_,972,EVT_END_SESSION(AudacityApp::OnEndSession)
AudacityApp.cpp,Other,callbacks_events,\bEVT_,974,"EVT_TIMER(kAudacityAppTimerID, AudacityApp::OnTimer)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,976,"EVT_MENU(wxID_NEW, AudacityApp::OnMenuNew)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,977,"EVT_MENU(wxID_OPEN, AudacityApp::OnMenuOpen)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,978,"EVT_MENU(wxID_ABOUT, AudacityApp::OnMenuAbout)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,979,"EVT_MENU(wxID_PREFERENCES, AudacityApp::OnMenuPreferences)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,986,"EVT_MENU(wxID_EXIT, AudacityApp::OnMenuExit)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,989,"EVT_SOCKET(ID_IPC_SERVER, AudacityApp::OnServerEvent)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,990,"EVT_SOCKET(ID_IPC_SOCKET, AudacityApp::OnSocketEvent)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,994,"EVT_MENU(FileHistory::ID_RECENT_CLEAR, AudacityApp::OnMRUClear)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,995,"EVT_MENU_RANGE(FileHistory::ID_RECENT_FIRST, FileHistory::ID_RECENT_LAST,"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,999,"EVT_APP_COMMAND(wxID_ANY, AudacityApp::OnReceiveCommand)"
AudacityApp.cpp,Other,callbacks_events,\bEVT_,1002,EVT_KEY_DOWN(AudacityApp::OnKeyDown)
AudacityApp.cpp,Other,callbacks_events,\bProcessEvent\b,667,wxGetApp().ProcessEvent(e);
AudacityApp.cpp,Other,callbacks_events,\bcallback\b,1804,// AppCommandEvent callback - just pass the event on to the CommandHandler
AudacityApp.cpp,Other,audio_stream_control,\bAudioIO\b,70,"#include ""AudioIO.h"""
AudacityApp.cpp,Other,audio_stream_control,\bAudioIO\b,1589,AudioIO::Init();
AudacityApp.cpp,Other,audio_stream_control,\bAudioIO\b,1822,auto gAudioIO = AudioIO::Get();
AudacityApp.cpp,Other,audio_stream_control,\bAudioIO\b,2463,AudioIO::Deinit();
AudacityApp.cpp,Other,state_transitions,\bStart\b,457,.Start();
AudacityApp.cpp,Other,state_transitions,\bStart\b,482,.Start();
AudacityApp.cpp,Other,state_transitions,\bStart\b,1322,mSplashTimer.Start(fadeStepMs);
AudacityApp.cpp,Other,state_transitions,\bStart\b,1665,UpdateManager::Start(playingJournal);
AudacityApp.cpp,Other,state_transitions,\bStart\b,1719,mTimer.Start(200);
AudacityApp.cpp,Other,state_transitions,\bStart\b,2608,// Start with HKEY_CLASSES_CURRENT_USER.
AudacityApp.cpp,Other,state_transitions,\bStop\b,1327,mSplashTimer.Stop();
AudacityApp.cpp,Other,state_transitions,\bStop\b,1329,mSplashTimer.Stop();
AudacityApp.cpp,Other,state_transitions,\bStop\b,1814,"// Stop play, including scrub, but not record"
AudacityApp.cpp,Other,state_transitions,\bStop\b,1828,ProjectAudioManager::Get(*project).Stop();
AudacityApp.cpp,Other,state_transitions,\bStop\b,1871,// Stop wxWidgets from printing its own error messages
AudacityApp.cpp,Other,state_transitions,\bFlush\b,432,gPrefs->Flush();
AudacityApp.cpp,Other,state_transitions,\bFlush\b,2449,gPrefs->Flush();
AudacityApp.cpp,Other,state_transitions,\bFlush\b,2644,gPrefs->Flush();
AudacityApp.cpp,Other,state_transitions,\bFlush\b,2650,gPrefs->Flush();
AudacityFileConfig.cpp,Other,callbacks_events,\bBind\(,194,"dlg.Bind(wxEVT_BUTTON, onButton);"
AudacityFileConfig.cpp,Other,state_transitions,\bFlush\b,43,// Prevent wxFileConfig from attempting a Flush() during object deletion. This happens
AudacityFileConfig.cpp,Other,state_transitions,\bFlush\b,44,// because we don't use the wxFileConfig::Flush() method and so the wxFileConfig dirty
AudacityFileConfig.cpp,Other,state_transitions,\bFlush\b,45,"// flag never gets reset. During deletion, the dirty flag is checked and a Flush()"
AudacityFileConfig.cpp,Other,state_transitions,\bFlush\b,98,bool AudacityFileConfig::Flush(bool bCurrentOnly)
AudacityFileConfig.h,Other,state_transitions,\bFlush\b,28,bool Flush(bool bCurrentOnly) override;
AudioPasteDialog.cpp,Other,callbacks_events,\bBind\(,84,S.AddVariableText(audioPasteModeText[i])->Bind(
AudioPasteDialog.cpp,Other,callbacks_events,\bEVT_,23,"EVT_BUTTON(wxID_OK, AudioPasteDialog::OnContinue)"
AudioPasteDialog.cpp,Other,callbacks_events,\bEVT_,24,"EVT_BUTTON(wxID_CANCEL, AudioPasteDialog::OnCancel)"
AudioPasteDialog.cpp,Other,state_transitions,\bFlush\b,139,gPrefs->Flush();
AutoRecoveryDialog.cpp,Other,callbacks_events,\bEVT_,66,"EVT_BUTTON(ID_QUIT_AUDACITY, AutoRecoveryDialog::OnQuitAudacity)"
AutoRecoveryDialog.cpp,Other,callbacks_events,\bEVT_,67,"EVT_BUTTON(ID_DISCARD_SELECTED, AutoRecoveryDialog::OnDiscardSelected)"
AutoRecoveryDialog.cpp,Other,callbacks_events,\bEVT_,68,"EVT_BUTTON(ID_RECOVER_SELECTED, AutoRecoveryDialog::OnRecoverSelected)"
AutoRecoveryDialog.cpp,Other,callbacks_events,\bEVT_,69,"EVT_BUTTON(ID_SKIP, AutoRecoveryDialog::OnSkip)"
AutoRecoveryDialog.cpp,Other,callbacks_events,\bEVT_,70,"EVT_LIST_COL_CLICK(ID_FILE_LIST, AutoRecoveryDialog::OnColumnClicked)"
AutoRecoveryDialog.cpp,Other,callbacks_events,\bEVT_,71,"EVT_LIST_ITEM_ACTIVATED(ID_FILE_LIST, AutoRecoveryDialog::OnItemActivated)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,49,"EVT_BUTTON(wxID_OK,                     MacroCommandDialog::OnOk)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,50,"EVT_BUTTON(wxID_CANCEL,                 MacroCommandDialog::OnCancel)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,51,"EVT_BUTTON(wxID_HELP,                   MacroCommandDialog::OnHelp)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,52,"EVT_BUTTON(EditParamsButtonID,          MacroCommandDialog::OnEditParams)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,53,"EVT_BUTTON(UsePresetButtonID,           MacroCommandDialog::OnUsePreset)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,54,"EVT_LIST_ITEM_ACTIVATED(CommandsListID, MacroCommandDialog::OnItemSelected)"
BatchCommandDialog.cpp,Other,callbacks_events,\bEVT_,55,"EVT_LIST_ITEM_SELECTED(CommandsListID,  MacroCommandDialog::OnItemSelected)"
BatchCommands.cpp,Other,blocking_or_waiting,\bJoin\(,369,"label.Join(XO(""(%s)"").Format(mNames[i].GET()), wxT("" ""));"
BatchCommands.cpp,Other,blocking_or_waiting,\bJoin\(,925,"wxString MacroCommands::Join(const wxString& command, const wxString& param)"
BatchCommands.cpp,Other,state_transitions,\bStart\b,95,"AddToMacro(wxT(""Select""), wxT(""Start=\""0\"" End=\""1\""""));"
BatchCommands.cpp,Other,state_transitions,\bStart\b,97,"AddToMacro(wxT(""Select""), wxT(""Start=\""0\"" End=\""1\"" RelativeTo=\""ProjectEnd\""""));"
BatchCommands.cpp,Other,state_transitions,\bStart\b,99,"AddToMacro(wxT(""Select""), wxT(""Start=\""0\"" End=\""0\""""));"
BatchCommands.cpp,Other,state_transitions,\bStart\b,246,// Start with a clean slate
BatchCommands.h,Other,blocking_or_waiting,\bJoin\(,117,"wxString Join(const wxString& command, const wxString& param);"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,85,"EVT_BUTTON(ApplyToProjectID, ApplyMacroDialog::OnApplyToProject)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,86,"EVT_BUTTON(ApplyToFilesID, ApplyMacroDialog::OnApplyToFiles)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,87,"EVT_BUTTON(wxID_CANCEL, ApplyMacroDialog::OnCancel)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,88,"EVT_BUTTON(wxID_CLOSE, ApplyMacroDialog::OnCancel)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,89,"EVT_BUTTON(wxID_HELP, ApplyMacroDialog::OnHelp)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,536,"EVT_LIST_ITEM_SELECTED(MacrosListID, MacrosWindow::OnMacroSelected)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,537,"EVT_LIST_ITEM_SELECTED(CommandsListID, MacrosWindow::OnListSelected)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,538,"EVT_LIST_BEGIN_LABEL_EDIT(MacrosListID, MacrosWindow::OnMacrosBeginEdit)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,539,"EVT_LIST_END_LABEL_EDIT(MacrosListID, MacrosWindow::OnMacrosEndEdit)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,540,"EVT_BUTTON(AddButtonID, MacrosWindow::OnAdd)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,541,"EVT_BUTTON(RemoveButtonID, MacrosWindow::OnRemove)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,542,"EVT_BUTTON(RenameButtonID, MacrosWindow::OnRename)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,543,"EVT_BUTTON(RestoreButtonID, MacrosWindow::OnRestore)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,544,"EVT_BUTTON(ImportButtonID, MacrosWindow::OnImport)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,545,"EVT_BUTTON(ExportButtonID, MacrosWindow::OnExport)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,546,"EVT_BUTTON(SaveButtonID, MacrosWindow::OnSave)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,548,"EVT_BUTTON(ExpandID, MacrosWindow::OnExpand)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,549,"EVT_BUTTON(ShrinkID, MacrosWindow::OnShrink)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,550,EVT_SIZE(MacrosWindow::OnSize)
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,552,"EVT_LIST_ITEM_ACTIVATED(CommandsListID, MacrosWindow::OnCommandActivated)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,553,"EVT_BUTTON(InsertButtonID, MacrosWindow::OnInsert)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,554,"EVT_BUTTON(EditButtonID, MacrosWindow::OnEditCommandParams)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,555,"EVT_BUTTON(DeleteButtonID, MacrosWindow::OnDelete)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,556,"EVT_BUTTON(UpButtonID, MacrosWindow::OnUp)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,557,"EVT_BUTTON(DownButtonID, MacrosWindow::OnDown)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,559,"EVT_BUTTON(wxID_OK, MacrosWindow::OnOK)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,560,"EVT_BUTTON(wxID_CANCEL, MacrosWindow::OnCancel)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,561,"EVT_BUTTON(wxID_CLOSE, MacrosWindow::OnCancel)"
BatchProcessDialog.cpp,Other,callbacks_events,\bEVT_,563,EVT_KEY_DOWN(MacrosWindow::OnKeyDown)
BatchProcessDialog.cpp,Other,state_transitions,\bFlush\b,309,gPrefs->Flush();
BatchProcessDialog.cpp,Other,state_transitions,\bFlush\b,344,gPrefs->Flush();
BatchProcessDialog.cpp,Other,state_transitions,\bFlush\b,1343,gPrefs->Flush();
Benchmark.cpp,Other,callbacks_events,\bEVT_,128,"EVT_BUTTON(RunID,   BenchmarkDialog::OnRun)"
Benchmark.cpp,Other,callbacks_events,\bEVT_,129,"EVT_BUTTON(BSaveID,  BenchmarkDialog::OnSave)"
Benchmark.cpp,Other,callbacks_events,\bEVT_,130,"EVT_BUTTON(ClearID, BenchmarkDialog::OnClear)"
Benchmark.cpp,Other,callbacks_events,\bEVT_,131,"EVT_BUTTON(wxID_CANCEL, BenchmarkDialog::OnClose)"
Benchmark.cpp,Other,state_transitions,\bStart\b,444,timer.Start();
Benchmark.cpp,Other,state_transitions,\bStart\b,533,timer.Start();
Benchmark.cpp,Other,state_transitions,\bStart\b,563,timer.Start();
Benchmark.cpp,Other,state_transitions,\bFlush\b,424,t->Flush();
CellularPanel.cpp,Other,callbacks_events,\bEVT_,117,EVT_MOUSE_EVENTS(CellularPanel::OnMouseEvent)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,118,EVT_MOUSE_CAPTURE_LOST(CellularPanel::OnCaptureLost)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,119,"EVT_COMMAND(wxID_ANY, EVT_CAPTURE_KEY, CellularPanel::OnCaptureKey)"
CellularPanel.cpp,Other,callbacks_events,\bEVT_,119,"EVT_COMMAND(wxID_ANY, EVT_CAPTURE_KEY, CellularPanel::OnCaptureKey)"
CellularPanel.cpp,Other,callbacks_events,\bEVT_,120,EVT_KEY_DOWN(CellularPanel::OnKeyDown)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,121,EVT_KEY_UP(CellularPanel::OnKeyUp)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,122,EVT_CHAR(CellularPanel::OnChar)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,123,EVT_SET_FOCUS(CellularPanel::OnSetFocus)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,124,EVT_KILL_FOCUS(CellularPanel::OnKillFocus)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,125,EVT_CONTEXT_MENU(CellularPanel::OnContextMenu)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,533,#if defined(__WXMAC__) && defined(EVT_MAGNIFY)
CellularPanel.cpp,Other,callbacks_events,\bEVT_,733,#if defined(__WXMAC__) && defined(EVT_MAGNIFY)
CellularPanel.cpp,Other,callbacks_events,\bProcessEvent\b,157,this->ProcessEvent(evt);
CellularPanel.cpp,Other,callbacks_events,\bProcessEvent\b,771,GetParent()->GetEventHandler()->ProcessEvent(e);
CellularPanel.cpp,Other,state_transitions,\bStop\b,1210,struct Stop {};
CellularPanel.cpp,Other,state_transitions,\bStop\b,1214,"result = rect, throw Stop {}"
CellularPanel.cpp,Other,state_transitions,\bStop\b,1218,catch (const Stop&) {}
CellularPanel.cpp,Other,state_transitions,\bStop\b,1228,struct Stop {};
CellularPanel.cpp,Other,state_transitions,\bStop\b,1232,"result = rect, throw Stop {}"
CellularPanel.cpp,Other,state_transitions,\bStop\b,1236,catch (const Stop&) {}
Clipboard.cpp,Other,callbacks_events,\bCallAfter\b,50,BasicUI::CallAfter([this]{ Publish({}); });
Clipboard.cpp,Other,callbacks_events,\bCallAfter\b,68,BasicUI::CallAfter([this]{ Publish({}); });
CommonCommandFlags.cpp,Other,audio_stream_control,\bAudioIO\b,15,"#include ""AudioIO.h"""
CommonCommandFlags.cpp,Other,audio_stream_control,\bAudioIO\b,262,auto gAudioIO = AudioIO::Get();
CrashReport.cpp,Other,threading,\bstd::thread\b,52,auto thread = std::thread([&]
CrashReport.cpp,Other,blocking_or_waiting,\bsleep_for\b,88,std::this_thread::sleep_for(50ms);
Dependencies.cpp,Other,callbacks_events,\bEVT_,288,"EVT_LIST_ITEM_SELECTED(FileListID, DependencyDialog::OnList)"
Dependencies.cpp,Other,callbacks_events,\bEVT_,289,"EVT_LIST_ITEM_DESELECTED(FileListID, DependencyDialog::OnList)"
Dependencies.cpp,Other,callbacks_events,\bEVT_,290,"EVT_LIST_ITEM_RIGHT_CLICK(FileListID, DependencyDialog::OnRightClick)"
Dependencies.cpp,Other,callbacks_events,\bEVT_,291,"EVT_BUTTON(CopySelectedFilesButtonID, DependencyDialog::OnCopySelectedFiles)"
Dependencies.cpp,Other,callbacks_events,\bEVT_,292,EVT_SIZE(DependencyDialog::OnSize)
Dependencies.cpp,Other,callbacks_events,\bEVT_,293,"EVT_BUTTON(wxID_NO, DependencyDialog::OnNo)    // mIsSaving ? ""Cancel Save"" : ""Save Without Copying"""
Dependencies.cpp,Other,callbacks_events,\bEVT_,294,"EVT_BUTTON(wxID_YES, DependencyDialog::OnYes)    // ""Copy All Files (Safer)"""
Dependencies.cpp,Other,callbacks_events,\bEVT_,295,"EVT_BUTTON(wxID_CANCEL, DependencyDialog::OnCancel)     // ""Cancel Save"""
Dependencies.cpp,Other,callbacks_events,\bEVT_,296,"EVT_MENU(CopyNamesToClipboardID, DependencyDialog::OnCopyToClipboard)"
Dependencies.cpp,Other,state_transitions,\bFlush\b,585,gPrefs->Flush();
Diags.cpp,Other,state_transitions,\bStart\b,71,MasterWatch.Start();
DoEffect.cpp,Other,state_transitions,\bStop\b,25,return [&]() { ProjectAudioManager::Get(project).Stop(); };
DropoutDetector.cpp,Other,callbacks_events,\bCallAfter\b,49,// CallAfter so that we avoid any problems of yielding
DropoutDetector.cpp,Other,callbacks_events,\bCallAfter\b,53,wxTheApp->CallAfter([&window] {
DropoutDetector.cpp,Other,callbacks_events,\bcallback\b,50,"// to the event loop while still inside the timer callback,"
FrameStatisticsDialog.cpp,Other,callbacks_events,\bBind\(,60,Bind(
FreqWindow.cpp,Other,callbacks_events,\bEVT_,97,DEFINE_EVENT_TYPE(EVT_FREQWINDOW_RECALC);
FreqWindow.cpp,Other,callbacks_events,\bEVT_,171,EVT_CLOSE(FrequencyPlotDialog::OnCloseWindow)
FreqWindow.cpp,Other,callbacks_events,\bEVT_,172,EVT_SIZE(FrequencyPlotDialog::OnSize)
FreqWindow.cpp,Other,callbacks_events,\bEVT_,173,"EVT_SLIDER(FreqZoomSliderID, FrequencyPlotDialog::OnZoomSlider)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,174,"EVT_COMMAND_SCROLL(FreqPanScrollerID, FrequencyPlotDialog::OnPanScroller)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,175,"EVT_CHOICE(FreqAlgChoiceID, FrequencyPlotDialog::OnAlgChoice)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,176,"EVT_CHOICE(FreqSizeChoiceID, FrequencyPlotDialog::OnSizeChoice)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,177,"EVT_CHOICE(FreqFuncChoiceID, FrequencyPlotDialog::OnFuncChoice)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,178,"EVT_CHOICE(FreqAxisChoiceID, FrequencyPlotDialog::OnAxisChoice)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,179,"EVT_BUTTON(FreqExportButtonID, FrequencyPlotDialog::OnExport)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,180,"EVT_BUTTON(ReplotButtonID, FrequencyPlotDialog::OnReplot)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,181,"EVT_BUTTON(wxID_CANCEL, FrequencyPlotDialog::OnCloseButton)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,182,"EVT_BUTTON(wxID_HELP, FrequencyPlotDialog::OnGetURL)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,183,"EVT_CHECKBOX(GridOnOffID, FrequencyPlotDialog::OnGridOnOff)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,184,"EVT_COMMAND(wxID_ANY, EVT_FREQWINDOW_RECALC, FrequencyPlotDialog::OnRecalc)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,184,"EVT_COMMAND(wxID_ANY, EVT_FREQWINDOW_RECALC, FrequencyPlotDialog::OnRecalc)"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,939,"wxCommandEvent e(EVT_FREQWINDOW_RECALC, wxID_ANY);"
FreqWindow.cpp,Other,callbacks_events,\bEVT_,1114,EVT_ERASE_BACKGROUND(FreqPlot::OnErase)
FreqWindow.cpp,Other,callbacks_events,\bEVT_,1115,EVT_PAINT(FreqPlot::OnPaint)
FreqWindow.cpp,Other,callbacks_events,\bEVT_,1116,EVT_MOUSE_EVENTS(FreqPlot::OnMouseEvent)
FreqWindow.cpp,Other,state_transitions,\bFlush\b,932,gPrefs->Flush();
FreqWindow.h,Other,callbacks_events,\bEVT_,33,"DECLARE_EXPORTED_EVENT_TYPE(AUDACITY_DLL_API, EVT_FREQWINDOW_RECALC, -1);"
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,124,EVT_SHOW(HistoryDialog::OnShow)
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,125,EVT_SIZE(HistoryDialog::OnSize)
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,126,EVT_CLOSE(HistoryDialog::OnCloseWindow)
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,127,"EVT_LIST_ITEM_SELECTED(wxID_ANY, HistoryDialog::OnItemSelected)"
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,128,"EVT_BUTTON(ID_DISCARD, HistoryDialog::OnDiscard)"
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,129,"EVT_BUTTON(ID_DISCARD_CLIPBOARD, HistoryDialog::OnDiscardClipboard)"
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,130,"EVT_BUTTON(ID_COMPACT, HistoryDialog::OnCompact)"
HistoryWindow.cpp,Other,callbacks_events,\bEVT_,131,"EVT_BUTTON(wxID_HELP, HistoryDialog::OnGetURL)"
HistoryWindow.cpp,Other,audio_stream_control,\bAudioIO\b,31,"#include ""AudioIO.h"""
HistoryWindow.cpp,Other,audio_stream_control,\bAudioIO\b,153,"mAudioIOSubscription = AudioIO::Get()->Subscribe(*this, &HistoryDialog::OnAudioIO);"
IncompatiblePluginsDialog.cpp,Other,callbacks_events,\bCallAfter\b,110,BasicUI::CallAfter([]()
